ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
"KCLANPO24N000000001","장소","관광지","100052","북산서원",,,"60603","유명사적/유적지","2772025030103720002","대구광역시","군위군","군위읍","대북리","372-2","2772025030","2772025000",,,,"128.565989590668","36.2694670194392","라바957085","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000002","장소","관광지","1000592","버블버블펜션캠핑",,,"60520","캠핑장","4182025029100610014","경기도","가평군","가평읍","마장리","61-14","4182025029","4182025000","418204448075","물안산길","121","127.528616736843","37.8591752983233","라사025843","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000003","장소","관광지","1001393","경반계곡",,,"60504","폭포/계곡","4182025027201890000","경기도","가평군","가평읍","경반리","산189","4182025027","4182025000",,,,"127.467292707911","37.8348704957586","다사971816","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000004","장소","관광지","1001395","고골계곡",,,"60504","폭포/계곡","4145012000105070000","경기도","하남시","상사창동",,"507","4145012000","4145059000",,,,"127.189984546053","37.4918825689314","다사725436","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000005","장소","관광지","1001397","고운동계곡",,,"60504","폭포/계곡","4886036025106730000","경상남도","산청군","시천면","반천리","673","4886036025","4886036000","488603345014","반천로","104","127.782741653165","35.2347080317112","라라257932","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000006","장소","관광지","1001399","곡달계곡",,,"60504","폭포/계곡","4183035027106870000","경기도","양평군","서종면","노문리","687","4183035027","4183035000",,,,"127.432989072839","37.6467498302825","다사940608","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000007","장소","관광지","1001406","구마계곡",,,"60504","폭포/계곡","4792035022107110000","경상북도","봉화군","소천면","고선리","711","4792035022","4792035000",,,,"128.964921678369","36.9876886417565","마바303886","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000008","장소","관광지","1001408","구천동계곡",,,"60504","폭포/계곡","5273032030201090000","전북특별자치도","무주군","설천면","삼공리","산109","5273032030","5273032000",,,,"127.766397099509","35.8494373834061","라마240614","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000009","장소","관광지","1001409","금당리계곡",,,"60504","폭포/계곡","5271038028105940000","전북특별자치도","완주군","운주면","금당리","594","5271038028","5271038000",,,,"127.305635912536","36.0644445338263","다마824852","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000010","장소","관광지","1001410","금빛계곡",,,"60504","폭포/계곡","4782035036200290024","경상북도","청도군","운문면","신원리","산29-24","4782035036","4782035000","478203309050","운문로","778","129.025843198987","35.6521648550775","마마381406","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000011","장소","관광지","1001415","내리계곡",,,"60504","폭포/계곡","5175032529106460000","강원특별자치도","영월군","김삿갓면","내리","646","5175032529","5175032500","517503227005","내리계곡로","1047","128.682858877605","37.1028917331266","마사051011","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000012","장소","관광지","1001417","대이계곡",,,"60504","폭포/계곡","5123036024201170000","강원특별자치도","삼척시","신기면","대이리","산117","5123036024","5123036000",,,,"129.008841064279","37.3215889094303","마사336258","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000013","장소","관광지","1001419","덕구계곡",,,"60504","폭포/계곡","4793031025201830000","경상북도","울진군","북면","덕구리","산183","4793031025","4793031000",,,,"129.281158074111","37.0779278204755","마바583991","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000014","장소","관광지","1001420","덕동계곡",,,"60504","폭포/계곡","4315036023200900001","충청북도","제천시","백운면","덕동리","산90-1","4315036023","4315036000","431503239012","덕동로","545-1","127.965014580347","37.2106558198548","라사412125","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000015","장소","관광지","1001421","도림사계곡",,,"60504","폭포/계곡","4672025026200140001","전라남도","곡성군","곡성읍","월봉리","산14-1","4672025026","4672025000",,,,"127.260644045915","35.266261969008","다라782967","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000016","장소","관광지","1001422","동학사계곡",,,"60504","폭포/계곡","4415034033200180000","충청남도","공주시","반포면","학봉리","산18","4415034033","4415034000","441503251009","동학사1로","472-95","127.215199727374","36.3522111069966","다바744172","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000017","장소","관광지","1001424","동활계곡",,,"60504","폭포/계곡","5123035025102960000","강원특별자치도","삼척시","가곡면","동활리","296","5123035025","5123035000","512303224001","가곡천로","641","129.149227159572","37.1449846399582","마사464064","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000018","장소","관광지","1001425","명달계곡",,,"60504","폭포/계곡","4183035026104590000","경기도","양평군","서종면","명달리","459","4183035026","4183035000",,,,"127.447881327951","37.6232643089542","다사954582","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000019","장소","관광지","1001426","묘적사계곡",,,"60504","폭포/계곡","4136025024201150000","경기도","남양주시","와부읍","월문리","산115","4136025024","4136025000",,,,"127.264148929575","37.6206514581252","다사791579","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000020","장소","관광지","1001427","미산계곡",,,"60504","폭포/계곡","5181035023103510001","강원특별자치도","인제군","상남면","미산리","351-1","5181035023","5181035000",,,,"128.311003456263","37.8749379677357","라사713864","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000021","장소","관광지","1001428","방동계곡",,,"60504","폭포/계곡","5181033021112840000","강원특별자치도","인제군","기린면","현리","1284","5181033021","5181033000",,,,"128.338396314821","37.9447547111266","라사736942","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000022","장소","관광지","1001429","백사실계곡",,,"60504","폭포/계곡","1111018400101170000","서울특별시","종로구","부암동",,"117","1111018400","1111055000",,,,"126.966283483779","37.6005457098429","다사528558","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000023","장소","관광지","1001430","사나사계곡",,,"60504","폭포/계곡","4183034022200260001","경기도","양평군","옥천면","용천리","산26-1","4183034022","4183034000",,,,"127.506712326673","37.5370223209369","라사005486","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000024","장소","관광지","1001431","산수계곡",,,"60504","폭포/계곡","4163034026101080001","경기도","양주시","장흥면","삼상리","108-1","4163034026","4163034000",,,,"126.940759207115","37.7023723736017","다사507671","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000025","장소","관광지","1001432","석남사계곡",,,"60504","폭포/계곡","3171038026201170003","울산광역시","울주군","상북면","덕현리","산117-3","3171038026","3171038000",,,,"129.033649464051","35.6209843047022","마마388371","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
"KCLANPO24N000000026","장소","관광지","1001433","석산계곡",,,"60504","폭포/계곡","4183036028102290000","경기도","양평군","단월면","석산리","229","4183036028","4183036000",,,,"127.602726940411","37.6391221978549","라사090599","20250707","KT","KC_495_LLR_ATRCTN_2024","20241015"
